assessment_id,criterion_id,criterion_title,service,service_profile,region,cluster,sku,applicability,state,core_controls,implementation_summary,evidence_ids,verification_method,validator,verification_result,last_verified_at,valid_until,limitations,remediation_owner,target_date
ASSESS-CMX-SEC-PUB-011,CMX-SEC-PUB-011,"SHARP AM_Key, service-key and per-job key isolation",,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-KMS-01;NCS-KMS-02;NCS-ORC-03;NCS-TEL-02,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-012,CMX-SEC-PUB-012,"Secured fabric-manager profile, allowed GUID list, SAETM and MAD abuse controls",,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-NET-05;NCS-IAM-02;NCS-KMS-01;NCS-ABU-03;NCS-TEL-02,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-013,CMX-SEC-PUB-013,"SR-IOV VF restrictions for QP0, MAD and privileged adapter operations",,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-NET-04;NCS-CMP-04;NCS-ORC-04;NCS-TEL-02,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-014,CMX-SEC-PUB-014,"Tenant isolation beyond namespace, container-only or untrusted shared-node boundaries",,,,,,UNKNOWN,PROPOSED,NCS-CMP-01;NCS-CMP-03;NCS-ORC-02;NCS-ORC-04;NCS-NET-02,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-015,CMX-SEC-PUB-015,Protection against container-to-host privilege escalation,,,,,,UNKNOWN,PROPOSED,NCS-CMP-03;NCS-ORC-02;NCS-ORC-04;NCS-VEM-01;NCS-VEM-02,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-016,CMX-SEC-PUB-016,Minimum-safe-version handling for NVIDIA Container Toolkit CVE-2024-0132 class issues,,,,,,UNKNOWN,PROPOSED,NCS-ASM-02;NCS-VEM-01;NCS-VEM-02;NCS-VEM-03;NCS-SSC-04,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-017,CMX-SEC-PUB-017,"Remediation for CVE-2025-23359, CVE-2025-23266 and related container-toolkit issues",,,,,,UNKNOWN,PROPOSED,NCS-ASM-02;NCS-VEM-01;NCS-VEM-02;NCS-VEM-03;NCS-SSC-04,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-018,CMX-SEC-PUB-018,Vendor embargo and prerelease security-advisory readiness,,,,,,UNKNOWN,PROPOSED,NCS-GOV-03;NCS-VEM-01;NCS-VEM-02;NCS-VEM-03;NCS-SSC-04,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-019,CMX-SEC-PUB-019,Automated staged rollout and deployed-state verification for security updates,,,,,,UNKNOWN,PROPOSED,NCS-ENG-04;NCS-VEM-02;NCS-VEM-03;NCS-SSC-05;NCS-ORC-04,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-020,CMX-SEC-PUB-020,Continuous process for future security improvement and retesting,,,,,,UNKNOWN,PROPOSED,NCS-GOV-03;NCS-GOV-05;NCS-ENG-01;NCS-ENG-04;NCS-VEM-01;NCS-TEL-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
