assessment_id,finding_id,category,severity,service,service_profile,region,cluster,sku,hardware,firmware_driver_orchestrator_versions,applicability,state,core_controls,tenant_blackbox_result,provider_whitebox_result,independent_failure_recovery_result,evidence_ids,validator,last_verified_at,valid_until,exception_or_risk_decision,remediation_owner,target_date,notes
SA-ASSESS-011,SA-NC-011,physical,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-API-02;NCS-NET-01;NCS-NET-04;NCS-PHY-02;NCS-IAM-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-012,SA-NC-012,network,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-API-02;NCS-NET-04;NCS-PHY-02;NCS-IAM-02;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-013,SA-NC-013,dpu,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-04;NCS-CMP-04;NCS-PHY-02;NCS-IAM-02;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-014,SA-NC-014,dpu,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-CMP-04;NCS-PHY-03;NCS-PHY-04;NCS-PHY-05;NCS-RES-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-015,SA-NC-015,fabric,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-NET-05;NCS-ASM-05;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-016,SA-NC-016,fabric,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-KMS-01;NCS-KMS-02;NCS-KMS-03;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-017,SA-NC-017,fabric,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-KMS-01;NCS-KMS-02;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-018,SA-NC-018,fabric,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-KMS-01;NCS-KMS-02;NCS-IAM-02;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-019,SA-NC-019,fabric,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-NET-05;NCS-IAM-02;NCS-KMS-01;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-020,SA-NC-020,fabric,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-NET-05;NCS-ABU-03;NCS-TEL-02;NCS-VEM-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-021,SA-NC-021,fabric,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-NET-04;NCS-CMP-04;NCS-ORC-04;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-022,SA-NC-022,network,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-01;NCS-NET-02;NCS-NET-05;NCS-ASM-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-023,SA-NC-023,vulnerability,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-ASM-02;NCS-VEM-01;NCS-VEM-02;NCS-VEM-03;NCS-ASM-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-024,SA-NC-024,vulnerability,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-VEM-01;NCS-VEM-02;NCS-VEM-03;NCS-SSC-04;NCS-GOV-03,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-025,SA-NC-025,governance,high,,,,,,,,UNKNOWN,PROPOSED,NCS-GOV-03;NCS-VEM-01;NCS-VEM-02;NCS-VEM-03;NCS-SSC-04,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-026,SA-NC-026,vulnerability,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-ENG-04;NCS-VEM-02;NCS-VEM-03;NCS-SSC-05;NCS-ORC-04,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-027,SA-NC-027,supply-chain,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-SSC-01;NCS-SSC-03;NCS-SSC-05;NCS-AIR-04;NCS-TEL-03;NCS-DAT-04,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-028,SA-NC-028,supply-chain,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-DAT-03;NCS-AIR-02;NCS-AIR-04;NCS-SSC-01;NCS-ENG-01,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-029,SA-NC-029,model-serving,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-DAT-02;NCS-DAT-05;NCS-CMP-01;NCS-CMP-02;NCS-NET-02;NCS-TEL-04,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-030,SA-NC-030,disclosure,high,,,,,,,,UNKNOWN,PROPOSED,NCS-VEM-02;NCS-IRR-04;NCS-IRR-05;NCS-GOV-05;NCS-TEL-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-031,SA-NC-031,agent,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-AIR-02;NCS-AIR-03;NCS-SSC-03;NCS-API-01;NCS-IAM-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-032,SA-NC-032,agent,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-AIR-03;NCS-IAM-05;NCS-ABU-03;NCS-ABU-04;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-033,SA-NC-033,agent,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-AIR-05;NCS-VEM-05;NCS-ENG-04;NCS-GOV-05;NCS-TEL-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-034,SA-NC-034,model-serving,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-DAT-02;NCS-DAT-05;NCS-CMP-01;NCS-CMP-02;NCS-NET-02;NCS-TEL-04,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-035,SA-NC-035,telemetry,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-TEL-01;NCS-TEL-04;NCS-API-01;NCS-IAM-02;NCS-DAT-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-036,SA-NC-036,assurance,high,,,,,,,,UNKNOWN,PROPOSED,NCS-VEM-05;NCS-TEL-05;NCS-GOV-05;NCS-API-01;NCS-NET-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-037,SA-NC-037,assurance,high,,,,,,,,UNKNOWN,PROPOSED,NCS-GOV-02;NCS-GOV-05;NCS-ASM-03;NCS-ASM-04;NCS-ENG-01,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-038,SA-NC-038,assurance,high,,,,,,,,UNKNOWN,PROPOSED,NCS-RES-03;NCS-RES-04;NCS-RES-05;NCS-ORC-05;NCS-NET-05;NCS-TEL-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-039,SA-NC-039,assurance,high,,,,,,,,UNKNOWN,PROPOSED,NCS-VEM-05;NCS-GOV-05;NCS-IRR-05;NCS-ENG-04,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-040,SA-NC-040,framework,high,,,,,,,,UNKNOWN,PROPOSED,NCS-GOV-05;NCS-GOV-02;NCS-ASM-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
